code,name,star
9607,Hilton Seattle Airport & Conference Center,3
9608,DoubleTree Hotel Seattle Airport,3
9616,Holiday Inn Express & Suites Hermosa Beach,3
9617,Hotel 48LEX New York,4
9655,Giorgio Hotel,3
9659,AvalonśHotel,3
9672,Hyatt Regency Mission Bay Spa & Marina,4
9676,Andaz West Hollywood,4
9677,The Freeport Inn and Marina,3
,,
9701,Hyatt Place Bowling Green,3
9706,SpringhillśSuitesśMiamiśAirportśSouth,3
9714,Hampton Inn & Suites LAX El Segundo,3
9715,Hilton College Station & Conference Center,3
9760,TheśWestinśDallasśParkśCentral,4
9781,Holiday Inn Express & Suites Houston NW - Tomball Area,3
9782,Staybridge Suites Houston NW - Willowbrook,3
9793,InterContinental Los Angeles Century City,4
9809,Courtyard by Marriott Fort Lauderdale Beach,3
9811,CircśHotel,4
9812,Hilton Garden Inn Los Angeles/Hollywood,3
9813,Mar Monte Hotel,4
9845,Hotel Hermosa,3
9846,The Georgian Hotel,3
9847,Jamaica Bay Inn,3
9849,Warwick Melrose - Dallas,4
9852,MarinaśDelśReyśHotel,4
9853,Residence Inn by Marriott New York Manhattan/Central Park,4
9854,"The Belamar Hotel, Tapestry Collection by Hilton",4
9866,Miami International Airport Hotel,3
,,
9874,Warwick New York,4
9891,The Roslyn Hotel,3
9896,Inn by the Sea at La Jolla,3
9904,The Keating,4
9912,FourśPointsśbyśSheratonśLosśAngelesśWestside,3
9949,Courtyard by Marriott New York JFK Airport,3
9956,Hilton Garden Inn Los Angeles/Redondo Beach,3
9957,Doral Inn & Suites Miami Airport West,3
9965,Homewood Suites by Hilton Los Angeles Redondo Beach,3
9966,Residence Inn by Marriott Los Angeles Redondo Beach,3
9967,Ramada Gaslamp Convention Center,3
9968,Hyatt Place Los Angeles / LAX / El Segundo,3
9990,Barbary Beach House Key West,4
9998,GreenPoint Hotel Kissimmee,3
10041,"H Hotel Los Angeles, Curio Collection by Hilton",4
10042,Homewood Suites by Hilton Los Angeles International Airport,3
10051,Embassy Suites by Hilton San Diego - La Jolla,3
10052,DoubleTree by Hilton Hotel Los Angeles Downtown,4
10061,Hollywood Hotel - The Hotel of Hollywood Near Universal Studios,3
10064,The Roosevelt Hotel NYC,4
,,
10072,Sheraton Gateway Los Angeles Airport Hotel,4
10078,Avenue of the Arts Costa Mesa,4
10083,Millennium Hilton New York One UN Plaza,4
10084,Canal Loft Hotel,3
10085,Candlewood Suites Times Square,3
10086,Duane Street Hotel,4
10087,Hilton Garden Inn Central Park South,3
10088,"Holiday Inn Wall Street, an IHG Hotel",3
10089,"Holiday Inn Express New York City Chelsea, an IHG Hotel",3
10090,Holiday Inn Express Times Square,3
10091,Holiday Inn Express Wall Street,3
10097,Hampton Inn Chelsea,3
10099,Hampton Inn by Hilton Madison Square Garden,3
10101,Hampton Inn Manhattan-Seaport-Financial District,3
10103,Hampton Inn Times Square South,3
10104,Hyatt House - White Plains,3
10105,Hyatt Union Square New York,4
10106,Nu Hotel Brooklyn,3
10112,Four Points by Sheraton LAX Los Angeles International Airport,4
10113,Insignia Hotel Brooklyn,3
10117,Comfort Inn Times Squares West,3
10119,DoubleTree by Hilton Hotel San Jose,3
10120,Hotel Zeppelin San Francisco,4
10122,Hotel Zelos San Francisco,4
10135,Courtyard by Marriott Los Angeles Westside,3
10136,Courtyard by Marriott San Diego Downtown,3
10137,Hotel Milo,3
10139,The Ambrose Hotel,4
10155,Hotel Normandie,3
10164,Hilton San Diego Del Mar,4
10170,Residence Inn Fort Lauderdale Airport & Cruise Port,3
10171,Hilton Oakland Airport,4
10172,Holiday Inn Los Angeles - LAX Airport,3
10177,Newport Beachside Hotel & Resort,3
10195,Hilton Garden Inn Queens / JFK Airport,3
10231,Grand Beach Hotel Bay Harbor,4
10237,Hampton Inn & Suites-Dallas Allen,3
10238,Hilton Garden Inn Dallas/Duncanville,3
10241,Hilton Garden Inn Dallas - Allen,3
10248,DoubleTree by Hilton Hotel San Pedro - Port of LA,4
10249,Hilton Garden Inn LAX/El Segundo,3
10252,Grand Beach Hotel Miami Beach,4
10254,"Hotel Morrison, an Ascend Hotel Collection Member",3
10267,Omni Berkshire Place,4
10269,Hyatt Regency Los Angeles International Airport,4
10283,Hilton Los Angeles/Universal City,4
10309,Hotel Angeleno,3
10316,The Westin Dallas Fort Worth Airport,4
10331,DoubleTree by Hilton San Francisco Airport,3
10332,Hyatt Regency La Jolla at Aventine,4
10343,Hilton Garden Inn Irvine/Orange County Airport,3
10344,The Sherman Hotel,3
10352,Cupertino Hotel,4
10361,Aloft Miami - Brickell,3
10362,Aloft Coral Gables,3
10386,The Grand Hotel,3
10397,The Westin San Diego Bayview,4
,,
10451,"Hilton Arlington, TX",4
10455,Staybridge Suites Times Square,4
10460,Holiday Inn Downtown Brooklyn,3
10462,The Millwood,3
10463,DoubleTree by Hilton Hotel Los Angeles - Norwalk,4
10486,Hyatt Regency Clearwater Beach Resort and Spa,4
10487,Millennium Downtown New York,4
10488,The Hoxton Williamsburg,4
10491,Conrad Midtown New York,5
10500,Hyatt Herald Square New York,4
10501,Hotel Current Long Beach,3
10510,DoubleTree by Hilton Hotel Campbell - Pruneyard Plaza,4
10518,Hilton Garden Inn West 35th Street,3
10519,Hilton New York Fashion District,4
10525,Hilton Garden Inn Bakersfield,3
10538,Baymont by Wyndham San Diego Downtown,3
10545,Residence Inn Bakersfield,3
10548,Holiday Inn Port of Miami - Downtown,3
10553,Embassy Suites by Hilton Brea North Orange County,4
10554,Hotel Erwin,4
10567,BśResortś&śSpa,4
10568,Coco Key Resort,3
10569,SheratonśTampa Riverwalk,3
10613,B Ocean Fort Lauderdale,4
